feature,feature_group,availability_at_k,availability_pct,practically_available,future_dependency,availability_decision,model_handling,reason,notes
case:LoanGoal,case-level,31376,1.0,Yes,No,Available,Candidate model feature,Observed as a case-level attribute by the prediction point.,Use the value observed in the prefix.
case:ApplicationType,case-level,31376,1.0,Yes,No,Available,Candidate model feature,Observed as a case-level attribute by the prediction point.,Use the value observed in the prefix.
case:RequestedAmount,case-level,31376,1.0,Yes,No,Available,Candidate model feature,Observed as a case-level attribute by the prediction point.,"A value of zero is observed, not missing."
concept:name,event-process,31376,1.0,Yes,No,Available,Prefix-safe encoding or aggregation,Observed event-process context is available in the prefix.,Do not encode events after the prediction point.
Action,event-process,31376,1.0,Yes,No,Available,Prefix-safe encoding or aggregation,Observed event-process context is available in the prefix.,Do not encode events after the prediction point.
EventOrigin,event-process,31376,1.0,Yes,No,Available,Prefix-safe encoding or aggregation,Observed event-process context is available in the prefix.,Do not encode events after the prediction point.
org:resource,event-process,31376,1.0,Yes,No,Available,Evaluate raw-resource generalization separately,The resource is observed in the prefix.,Availability does not establish out-of-sample generalization.
lifecycle:transition,event-process,31376,1.0,Yes,No,Available,Prefix-safe encoding or aggregation,Observed event-process context is available in the prefix.,Do not encode events after the prediction point.
time:timestamp,event-process,31376,1.0,Yes,No,Available,Use prefix-derived temporal features only,Timestamps for observed prefix events are available.,Exclude final-event timestamp and total case duration.
FirstWithdrawalAmount,offer-sparse,20905,0.6662735849056604,Conditional,"No, if observed by k",Conditionally Available,Use only when observed within events 1-10,Offer creation may occur before or after the prediction point.,Never backfill from the suffix; multiple offers are valid.
NumberOfTerms,offer-sparse,20905,0.6662735849056604,Conditional,"No, if observed by k",Conditionally Available,Use only when observed within events 1-10,Offer creation may occur before or after the prediction point.,Never backfill from the suffix; multiple offers are valid.
Accepted,offer-sparse,20905,0.6662735849056604,Conditional,"No, if observed by k",Conditionally Available,Use only when observed within events 1-10,It does not deterministically encode later O_Accepted state.,Never backfill from the suffix; multiple offers are valid.
MonthlyCost,offer-sparse,20905,0.6662735849056604,Conditional,"No, if observed by k",Conditionally Available,Use only when observed within events 1-10,Offer creation may occur before or after the prediction point.,Never backfill from the suffix; multiple offers are valid.
Selected,offer-sparse,20905,0.6662735849056604,No,"Yes, semantic",Leakage Risk,Exclude,It reflects later offer lifecycle or customer selection.,Recorded on O_Create Offer but treated as future-derived.
CreditScore,offer-sparse,20905,0.6662735849056604,Conditional,"No, if observed by k",Conditionally Available,Use only when observed within events 1-10,Offer creation may occur before or after the prediction point.,Never backfill from the suffix; multiple offers are valid.
OfferedAmount,offer-sparse,20905,0.6662735849056604,Conditional,"No, if observed by k",Conditionally Available,Use only when observed within events 1-10,Offer creation may occur before or after the prediction point.,Never backfill from the suffix; multiple offers are valid.
OfferID,offer-sparse,16761,0.5341981132075472,Grouping only,"No, if observed by k",Conditionally Available,Exclude raw ID; retain for offer grouping,Prefix availability is conditional and the value is an ID.,Multiple offer IDs within a case are valid.
EventID,identifier,31376,1.0,Grouping only,No,Available,Exclude as a raw identifier,Observed in the prefix but unsuitable as a raw predictor.,Retain only where event identity is operationally required.
case:concept:name,identifier,31376,1.0,Grouping only,No,Available,Exclude as a raw identifier,Observed in the prefix but unsuitable as a raw predictor.,Retain for case grouping and joins.
